numero_os,tss,dia,tse,data_execucao,data_competencia,equipe,atc,ato,municipio,bairro,logradouro,observacao
2632432450,SUPRIMIR LIG AGUA ENCERRAMENTO CONTRATO,2026-08-13,SUPRIMIDA LIG AGUA ENCERRAMENTO CONTRATO,2026-08-13 08:39:00,2026-08-12 14:03:00,MOTO-ME - EDUARDO A SANTOS,923,32,SÃO PAULO,VILA REPRESA,"RUA JULIO KAZAKEVICIUS, 7 - C/5",
26102628458,SUPRIMIR LIG AGUA ENCERRAMENTO CONTRATO,2026-08-31,SUPRIMIDA LIG AGUA ENCERRAMENTO CONTRATO,2026-08-31 14:47:00,2026-08-28 05:14:00,MOTO-ME - EDUARDO A SANTOS,923,32,SÃO PAULO,ST FIGUEIRAS RIO B,"RUA DURVALINO DE SOUZA, 8",
2634181348,SUPRIMIR LIG AGUA ENCERRAMENTO CONTRATO,2026-08-31,SUPRIMIDA LIG AGUA ENCERRAMENTO CONTRATO,2026-08-31 12:42:00,2026-08-25 14:50:00,MOTO-ME - EDUARDO A SANTOS,923,32,SÃO PAULO,V FRIBURGO,"RUA FREDERICO MICHEL, 148",
2631399469,SUPRIMIR LIG AGUA ENCERRAMENTO CONTRATO,2026-08-10,SUPRIMIDA LIG AGUA ENCERRAMENTO CONTRATO,2026-08-10 15:27:00,2026-08-04 09:49:00,MOTO-ME CVV- MATHEUS SILVA,923,32,SÃO PAULO,JD MYRNA,"AVENIDA CARLOS ALBERTO BASTOS MACHADO, 1505",
26100835644,SUPRIMIR LIG AGUA ENCERRAMENTO CONTRATO,2026-08-11,SUPRIMIDA LIG AGUA ENCERRAMENTO CONTRATO,2026-08-11 11:36:00,2026-08-09 00:52:00,MOTO-ME CVV- MATHEUS SILVA,929,32,SÃO PAULO,JD NOVO HORIZONTE,"RUA CARUANENSE, 494 - C/2",
2632711768,SUPRIMIR LIG AGUA ENCERRAMENTO CONTRATO,2026-08-17,SUPRIMIDA LIG AGUA ENCERRAMENTO CONTRATO,2026-08-17 09:40:00,2026-08-14 10:23:00,MOTO-ME CVV- MATHEUS SILVA,923,32,SÃO PAULO,PQ MARIA FERNANDES,"AVENIDA PAULO GUILGUER REIMBERG, 330 - C/4",
2632708238,SUPRIMIR LIG AGUA ENCERRAMENTO CONTRATO,2026-08-17,SUPRIMIDA LIG AGUA ENCERRAMENTO CONTRATO,2026-08-17 09:42:00,2026-08-14 10:11:00,MOTO-ME CVV- MATHEUS SILVA,923,32,SÃO PAULO,PQ MARIA FERNANDES,"AVENIDA PAULO GUILGUER REIMBERG, 330 - C/8",
2632743041,SUPRIMIR LIG AGUA ENCERRAMENTO CONTRATO,2026-08-17,SUPRIMIDA LIG AGUA ENCERRAMENTO CONTRATO,2026-08-17 13:12:00,2026-08-14 15:01:00,MOTO-ME CVV- MATHEUS SILVA,923,32,SÃO PAULO,VILA NATAL,"RUA MARACUJA NATAL, 148 - C/1",
2633663457,SUPRIMIR LIG AGUA ENCERRAMENTO CONTRATO,2026-08-24,SUPRIMIDA LIG AGUA ENCERRAMENTO CONTRATO,2026-08-24 15:07:00,2026-08-21 08:12:00,MOTO-ME CVV- MATHEUS SILVA,923,32,SÃO PAULO,JD BELCITO,"RUA MAJOR LUCIO DIAS RAMOS, 160 - C/1",
2633915437,SUPRIMIR LIG AGUA ENCERRAMENTO CONTRATO,2026-08-25,SUPRIMIDA LIG AGUA ENCERRAMENTO CONTRATO,2026-08-25 08:48:00,2026-08-24 08:14:00,MOTO-ME CVV- MATHEUS SILVA,923,32,SÃO PAULO,V NATAL,"RUA CAFE NATAL, 229 - C/3",
2634694871,SUPRIMIR LIG AGUA ENCERRAMENTO CONTRATO,2026-08-31,SUPRIMIDA LIG AGUA ENCERRAMENTO CONTRATO,2026-08-31 12:25:00,2026-08-28 10:42:00,MOTO-ME CVV- MATHEUS SILVA,929,32,SÃO PAULO,JD VARGINHA,"TRAVESSA UNIDOS, 16",
2634262136,SUPRIMIR LIG AGUA ENCERRAMENTO CONTRATO,2026-08-31,SUPRIMIDA LIG AGUA ENCERRAMENTO CONTRATO,2026-08-31 13:12:00,2026-08-26 08:51:00,MOTO-ME CVV- MATHEUS SILVA,923,32,SÃO PAULO,PQ MARIA FERNANDES,"TRAVESSA LEVY, 76",
2634562054,SUPRIMIR LIG AGUA ENCERRAMENTO CONTRATO,2026-08-31,SUPRIMIDA LIG AGUA ENCERRAMENTO CONTRATO,2026-08-31 08:52:00,2026-08-28 16:09:00,MOTO-ME CVV- MATHEUS SILVA,923,32,SÃO PAULO,JD CAMPINAS,"RUA CONSTELACAO DO CARANGUEJO, 303 - C/2",
2631010570,SUPRIMIR LIG AGUA ENCERRAMENTO CONTRATO,2026-08-03,SUPRIMIDA LIG AGUA ENCERRAMENTO CONTRATO,2026-08-03 11:27:00,2026-07-31 17:51:00,MOTO-ME CVV -JEFFERSON DA SILVA,929,32,SÃO PAULO,JD TRES CORACOES,"RUA BENEDITA MARTINS RAMOS, 131 - A C/1",
2631838519,SUPRIMIR LIG AGUA ENCERRAMENTO CONTRATO,2026-08-10,SUPRIMIDA LIG AGUA ENCERRAMENTO CONTRATO,2026-08-10 15:13:00,2026-08-07 08:02:00,MOTO-ME CVV -JEFFERSON DA SILVA,929,32,SÃO PAULO,CANTINHO DO CEU,"RUA CARAVELA, 264 - A",
2631847438,SUPRIMIR LIG AGUA ENCERRAMENTO CONTRATO,2026-08-10,SUPRIMIDA LIG AGUA ENCERRAMENTO CONTRATO,2026-08-10 10:59:00,2026-08-07 09:44:00,MOTO-ME CVV -JEFFERSON DA SILVA,929,32,SÃO PAULO,PQ RES COCAIA,"RUA MATO GROSSO, 47 - C/1",
2632156064,SUPRIMIR LIG AGUA ENCERRAMENTO CONTRATO,2026-08-11,SUPRIMIDA LIG AGUA ENCERRAMENTO CONTRATO,2026-08-11 10:39:00,2026-08-10 12:46:00,MOTO-ME CVV -JEFFERSON DA SILVA,929,32,SÃO PAULO,JD LUCELIA,"RUA ASSURBANIPAL, 834 - C/2",
26101496913,SUPRIMIR LIG AGUA ENCERRAMENTO CONTRATO,2026-08-17,SUPRIMIDA LIG AGUA ENCERRAMENTO CONTRATO,2026-08-17 12:06:00,2026-08-15 10:26:00,MOTO-ME CVV -JEFFERSON DA SILVA,929,32,SÃO PAULO,JD LUCELIA,"RUA ADELIA DUMILATRE, 7 - C/2",
2632822452,SUPRIMIR LIG AGUA ENCERRAMENTO CONTRATO,2026-08-17,SUPRIMIDA LIG AGUA ENCERRAMENTO CONTRATO,2026-08-17 09:37:00,2026-08-15 09:49:00,MOTO-ME CVV -JEFFERSON DA SILVA,929,32,SÃO PAULO,JD BELCITO,"TRAVESSA SAO CAETANO, 14",
26101605594,SUPRIMIR LIG AGUA ENCERRAMENTO CONTRATO,2026-08-18,SUPRIMIDA LIG AGUA ENCERRAMENTO CONTRATO,2026-08-18 08:23:00,2026-08-17 11:12:00,MOTO-ME CVV -JEFFERSON DA SILVA,929,32,SÃO PAULO,PQ DEISY,"RUA PROFESSOR AMILCAR QUINTELLA, 94",
2633134995,SUPRIMIR LIG AGUA ENCERRAMENTO CONTRATO,2026-08-19,SUPRIMIDA LIG AGUA ENCERRAMENTO CONTRATO,2026-08-19 14:07:00,2026-08-18 14:39:00,MOTO-ME CVV -JEFFERSON DA SILVA,299,24,EMBU-GUACU,VL SAO JOSE,"ESTRADA SANTA RITA, 45400",
2633414582,SUPRIMIR LIG AGUA ENCERRAMENTO CONTRATO,2026-08-24,SUPRIMIDA LIG AGUA ENCERRAMENTO CONTRATO,2026-08-24 10:41:00,2026-08-20 09:04:00,MOTO-ME CVV -JEFFERSON DA SILVA,929,32,SÃO PAULO,JD ELIANA,"RUA PEDRO ESCOBAR, 47 - C/7",
2633906786,SUPRIMIR LIG AGUA ENCERRAMENTO CONTRATO,2026-08-25,SUPRIMIDA LIG AGUA ENCERRAMENTO CONTRATO,2026-08-25 17:31:00,2026-08-23 12:37:00,MOTO-ME CVV -JEFFERSON DA SILVA,929,32,SÃO PAULO,CANTINHO DO CEU,"RUA TREZE DE MAIO, 5 - C/1",
26102408621,SUPRIMIR LIG AGUA ENCERRAMENTO CONTRATO,2026-08-31,SUPRIMIDA LIG AGUA ENCERRAMENTO CONTRATO,2026-08-31 09:58:00,2026-08-25 18:46:00,MOTO-ME CVV -JEFFERSON DA SILVA,929,32,SÃO PAULO,PQ COCAIA,"RUA ADELIA DA SILVA MENDES, 213 - FDS-C/5",
2633747518,SUPRIMIR LIG AGUA ENCERRAMENTO CONTRATO,2026-08-24,SUPRIMIDA LIG AGUA ENCERRAMENTO CONTRATO,2026-08-24 08:42:00,2026-08-21 15:33:00,MOTO-ME CVV - JEAN CARLOS,923,32,SÃO PAULO,PQ AMERICA,"RUA JEQUIRITUBA, 1748 - A C/3",
26101808064,SUPRIMIR LIG AGUA ENCERRAMENTO CONTRATO,2026-08-24,SUPRIMIDA LIG AGUA ENCERRAMENTO CONTRATO,2026-08-24 08:16:00,2026-08-19 08:17:00,MOTO-ME CVV - JEAN CARLOS,923,32,SÃO PAULO,JD COLONIAL,"RUA JEQUIRITUBA, 423 - C/4",
26100062168,SUPRIMIR LIG AGUA ENCERRAMENTO CONTRATO,2026-08-03,SUPRIMIDA LIG AGUA ENCERRAMENTO CONTRATO,2026-08-03 09:34:00,2026-07-31 16:08:00,MOTO-ME CVV- CLAUDIO,923,32,SÃO PAULO,PQ AMERICA,"RUA FRANCISCO FERNANDES MOTA FILHO, 178 - C/2",
2600141895,SUPRIMIR LIG AGUA ENCERRAMENTO CONTRATO,2026-08-03,SUPRIMIDA LIG AGUA ENCERRAMENTO CONTRATO,2026-08-03 13:25:00,2026-07-30 20:17:00,MOTO-ME CVV- CLAUDIO,923,32,SÃO PAULO,V NATAL,"RUA PITOMBA NATAL, 114 - A",
26100209268,SUPRIMIR LIG AGUA ENCERRAMENTO CONTRATO,2026-08-04,SUPRIMIDA LIG AGUA ENCERRAMENTO CONTRATO,2026-08-04 09:02:00,2026-08-03 11:51:00,MOTO-ME CVV- CLAUDIO,923,32,SÃO PAULO,PQ AMERICA,"RUA NELSON GEBARA, 165 - C/1",
2631649756,SUPRIMIR LIG AGUA ENCERRAMENTO CONTRATO,2026-08-10,SUPRIMIDA LIG AGUA ENCERRAMENTO CONTRATO,2026-08-10 08:55:00,2026-08-06 10:53:00,MOTO-ME CVV- CLAUDIO,923,32,SÃO PAULO,GRAJAU,"RUA JOSE QUARESMA JUNIOR, 675 - C/7",
2631671031,SUPRIMIR LIG AGUA ENCERRAMENTO CONTRATO,2026-08-10,SUPRIMIDA LIG AGUA ENCERRAMENTO CONTRATO,2026-08-10 08:50:00,2026-08-06 12:51:00,MOTO-ME CVV- CLAUDIO,923,32,SÃO PAULO,PQ GRAJAU,"RUA MARIA CELESTINA FRAGA, 29 - C/4",
26100451709,SUPRIMIR LIG AGUA ENCERRAMENTO CONTRATO,2026-08-10,SUPRIMIDA LIG AGUA ENCERRAMENTO CONTRATO,2026-08-10 10:40:00,2026-08-05 12:07:00,MOTO-ME CVV- CLAUDIO,923,32,SÃO PAULO,PQ STA CECILIA,"RUA FREDERIC MISTRAL, 67 - F C/1",
2631410819,SUPRIMIR LIG AGUA ENCERRAMENTO CONTRATO,2026-08-10,SUPRIMIDA LIG AGUA ENCERRAMENTO CONTRATO,2026-08-10 10:35:00,2026-08-04 10:06:00,MOTO-ME CVV- CLAUDIO,923,32,SÃO PAULO,JD STA RITA,"RUA FREDERIC MISTRAL, 193 - C/1",
26100936998,SUPRIMIR LIG AGUA ENCERRAMENTO CONTRATO,2026-08-11,SUPRIMIDA LIG AGUA ENCERRAMENTO CONTRATO,2026-08-11 10:07:00,2026-08-10 13:31:00,MOTO-ME CVV- CLAUDIO,923,32,SÃO PAULO,JD DOS MANACAS,"RUA BENEDITO PEREIRA IGNACIO, 387 - C/3",
2632660917,SUPRIMIR LIG AGUA ENCERRAMENTO CONTRATO,2026-08-17,SUPRIMIDA LIG AGUA ENCERRAMENTO CONTRATO,2026-08-17 09:02:00,2026-08-13 20:47:00,MOTO-ME CVV- CLAUDIO,923,32,SÃO PAULO,PQ GRAJAU,"RUA TORQUATO TAPAJOS, 800 - A C/4",
26101527919,SUPRIMIR LIG AGUA ENCERRAMENTO CONTRATO,2026-08-17,SUPRIMIDA LIG AGUA ENCERRAMENTO CONTRATO,2026-08-17 08:39:00,2026-08-16 01:01:00,MOTO-ME CVV- CLAUDIO,923,32,SÃO PAULO,PQ AMERICA,"RUA FRANCISCO OCTAVIO PACCA, 244 - C/1",
26101616983,SUPRIMIR LIG AGUA ENCERRAMENTO CONTRATO,2026-08-18,SUPRIMIDA LIG AGUA ENCERRAMENTO CONTRATO,2026-08-18 11:48:00,2026-08-17 11:45:00,MOTO-ME CVV- CLAUDIO,923,32,SÃO PAULO,JD S JOSE,"AVENIDA MONGE ALBERICO, 29",
26102158969,SUPRIMIR LIG AGUA ENCERRAMENTO CONTRATO,2026-08-25,SUPRIMIDA LIG AGUA ENCERRAMENTO CONTRATO,2026-08-25 08:25:00,2026-08-23 13:33:00,MOTO-ME CVV- CLAUDIO,923,32,SÃO PAULO,JD COLONIAL,"RUA GENERAL AZEVEDO PIMENTEL, 18",
2634409084,SUPRIMIR LIG AGUA ENCERRAMENTO CONTRATO,2026-08-28,SUPRIMIDA LIG AGUA ENCERRAMENTO CONTRATO,2026-08-28 11:28:00,2026-08-27 08:37:00,MOTO-ME CVV- CLAUDIO,929,32,SÃO PAULO,JD IPORA,"RUA FORTE DO CAMPO, 52",
26102747592,SUPRIMIR LIG AGUA ENCERRAMENTO CONTRATO,2026-08-31,SUPRIMIDA LIG AGUA ENCERRAMENTO CONTRATO,2026-08-31 10:31:00,2026-08-29 17:15:00,MOTO-ME CVV- CLAUDIO,923,32,SÃO PAULO,GRAJAU,"RUA JOAO MARIO DE JESUS, 163 - C/3",
2634195986,SUPRIMIR LIG AGUA ENCERRAMENTO CONTRATO,2026-08-31,SUPRIMIDA LIG AGUA ENCERRAMENTO CONTRATO,2026-08-31 16:12:00,2026-08-25 16:25:00,MOTO-ME CVV- CLAUDIO,923,32,SÃO PAULO,JD DOS MANACAS,"VIELA CINCO, 3",
2631091494,SUPRIMIR LIG AGUA ENCERRAMENTO CONTRATO,2026-08-03,SUPRIMIDA LIG AGUA ENCERRAMENTO CONTRATO,2026-08-03 09:16:00,2026-08-01 19:59:00,MOTO-ME CVV- EMERSON ALVES,923,32,SÃO PAULO,JD IV CENTENARIO,"RUA MINISTRO JUNQUEIRA AYRES, 80 - C/1",
2631084969,SUPRIMIR LIG AGUA ENCERRAMENTO CONTRATO,2026-08-03,SUPRIMIDA LIG AGUA ENCERRAMENTO CONTRATO,2026-08-03 08:35:00,2026-08-01 13:29:00,MOTO-ME CVV- EMERSON ALVES,923,32,SÃO PAULO,JD IPORANGA,"RUA VICENTE LUIS DOS PASSOS, 24",
2631204913,SUPRIMIR LIG AGUA ENCERRAMENTO CONTRATO,2026-08-04,SUPRIMIDA LIG AGUA ENCERRAMENTO CONTRATO,2026-08-04 13:39:00,2026-08-03 12:19:00,MOTO-ME CVV- EMERSON ALVES,299,24,EMBU-GUACU,CH BONANZA,"RUA SALVADOR FERRERI, 31",
26100993468,SUPRIMIR LIG AGUA ENCERRAMENTO CONTRATO,2026-08-12,SUPRIMIDA LIG AGUA ENCERRAMENTO CONTRATO,2026-08-12 11:09:00,2026-08-10 16:08:00,MOTO-ME CVV- EMERSON ALVES,923,32,SÃO PAULO,JD DO LAGO,"RUA DAS PAINEIRAS, 255 - C/8",
2632442009,SUPRIMIR LIG AGUA ENCERRAMENTO CONTRATO,2026-08-17,SUPRIMIDA LIG AGUA ENCERRAMENTO CONTRATO,2026-08-17 09:25:00,2026-08-12 15:15:00,MOTO-ME CVV- EMERSON ALVES,923,32,SÃO PAULO,V PROGRESSO,"VIELA SAO CRISTOVAO, 315",
2632737956,SUPRIMIR LIG AGUA ENCERRAMENTO CONTRATO,2026-08-18,SUPRIMIDA LIG AGUA ENCERRAMENTO CONTRATO,2026-08-18 08:07:00,2026-08-17 09:43:00,MOTO-ME CVV- EMERSON ALVES,923,32,SÃO PAULO,JD DOS BICHINHOS,"RUA BATISTA APRILE, 19 - C/1",
2632912525,SUPRIMIR LIG AGUA ENCERRAMENTO CONTRATO,2026-08-18,SUPRIMIDA LIG AGUA ENCERRAMENTO CONTRATO,2026-08-18 09:51:00,2026-08-17 10:50:00,MOTO-ME CVV- EMERSON ALVES,923,32,SÃO PAULO,JD IPORANGA,"TRAVESSA PLAZA SUL, 13",
26101669380,SUPRIMIR LIG AGUA ENCERRAMENTO CONTRATO,2026-08-20,SUPRIMIDA LIG AGUA ENCERRAMENTO CONTRATO,2026-08-20 12:42:00,2026-08-17 17:28:00,MOTO-ME CVV- EMERSON ALVES,923,32,SÃO PAULO,SOCORRO,"RUA ANTONIO FOSTER, 630",
2632383277,SUPRIMIR LIG AGUA ENCERRAMENTO CONTRATO,2026-08-13,SUPRIMIDA LIG AGUA ENCERRAMENTO CONTRATO,2026-08-13 15:01:00,2026-08-12 07:27:00,MOTO-ME CCV- ANDRE CIRQUEIRA,929,32,SÃO PAULO,COLONIA,"AVENIDA JATOBAS, 25 - A C/3",
26102299461,SUPRIMIR LIG AGUA ENCERRAMENTO CONTRATO,2026-08-27,SUPRIMIDA LIG AGUA ENCERRAMENTO CONTRATO,2026-08-27 15:55:00,2026-08-25 09:12:00,MOTO-ME CCV- ANDRE CIRQUEIRA,929,32,SÃO PAULO,RECANTO CAMPO BELO,"RUA GALILEIA, 16",
2634260759,SUPRIMIR LIG AGUA ENCERRAMENTO CONTRATO,2026-08-31,SUPRIMIDA LIG AGUA ENCERRAMENTO CONTRATO,2026-08-31 08:20:00,2026-08-26 08:36:00,MOTO-ME CCV- ANDRE CIRQUEIRA,929,32,SÃO PAULO,JD S NORBERTO,"RUA DOMENICO LANZETTI, 122 - C/2",
2634260080,SUPRIMIR LIG AGUA ENCERRAMENTO CONTRATO,2026-08-31,SUPRIMIDA LIG AGUA ENCERRAMENTO CONTRATO,2026-08-31 08:19:00,2026-08-26 08:29:00,MOTO-ME CCV- ANDRE CIRQUEIRA,929,32,SÃO PAULO,JD S NORBERTO,"RUA DOMENICO LANZETTI, 122 - C/8",
2630908640,SUPRIMIR LIGAÇÃO DE AGUA POR IMOVEL VAGO,2026-08-03,SUPRIMIDA LIGAÇÃO DE AGUA IMOVEL VAGO,2026-08-03 09:51:00,2026-07-31 09:41:00,MOTO-ME CVV- MATHEUS SILVA,923,32,SÃO PAULO,CH COCAIA,"VIELA DOS LIRIOS DO VALE, 19",
26101279808,SUPRIMIR LIGAÇÃO DE AGUA POR IMOVEL VAGO,2026-08-17,SUPRIMIDA LIGAÇÃO DE AGUA IMOVEL VAGO,2026-08-17 09:30:00,2026-08-12 17:14:00,MOTO-ME CVV- MATHEUS SILVA,923,32,SÃO PAULO,PQ COCAIA,"RUA DOUTOR LEAO DE ARAUJO NOVAES, 26 - C/2",
26101588208,SUPRIMIR LIGAÇÃO DE AGUA POR IMOVEL VAGO,2026-08-18,SUPRIMIDA LIGAÇÃO DE AGUA IMOVEL VAGO,2026-08-18 10:06:00,2026-08-17 10:31:00,MOTO-ME CVV- MATHEUS SILVA,923,32,SÃO PAULO,JD MYRNA,"RUA PROFESSOR LICINIO CARPINELLI, 350 - C/1",
26100086215,SUPRIMIR LIGAÇÃO DE AGUA POR IMOVEL VAGO,2026-08-03,SUPRIMIDA LIGAÇÃO DE AGUA IMOVEL VAGO,2026-08-03 09:41:00,2026-07-31 21:36:00,MOTO-ME CVV -JEFFERSON DA SILVA,929,32,SÃO PAULO,PQ RES COCAIA,"RUA RUBENS DE OLIVEIRA, 37",
2632100495,SUPRIMIR LIGAÇÃO DE AGUA POR IMOVEL VAGO,2026-08-11,SUPRIMIDA LIGAÇÃO DE AGUA IMOVEL VAGO,2026-08-11 08:55:00,2026-08-10 09:20:00,MOTO-ME CVV -JEFFERSON DA SILVA,929,32,SÃO PAULO,PQ DEISY,"TRAVESSA BARBOSA SANTOS, 39",
26100860925,SUPRIMIR LIGAÇÃO DE AGUA POR IMOVEL VAGO,2026-08-11,SUPRIMIDA LIGAÇÃO DE AGUA IMOVEL VAGO,2026-08-11 10:49:00,2026-08-09 18:50:00,MOTO-ME CVV -JEFFERSON DA SILVA,929,32,SÃO PAULO,JD LUCELIA,"RUA CHARLES RICHET, 129 - C/1",
26100946921,SUPRIMIR LIGAÇÃO DE AGUA POR IMOVEL VAGO,2026-08-11,SUPRIMIDA LIGAÇÃO DE AGUA IMOVEL VAGO,2026-08-11 16:06:00,2026-08-10 13:40:00,MOTO-ME CVV -JEFFERSON DA SILVA,929,32,SÃO PAULO,V NASCENTE,"RUA FORCA POPULAR, 111 - C/2",
2634334526,SUPRIMIR LIGAÇÃO DE AGUA POR IMOVEL VAGO,2026-08-31,SUPRIMIDA LIGAÇÃO DE AGUA IMOVEL VAGO,2026-08-31 16:00:00,2026-08-26 16:18:00,MOTO-ME CVV -JEFFERSON DA SILVA,929,32,SÃO PAULO,CANTINHO DO CEU,"TRAVESSA CAPIM, 3 - C/2",
2632112559,SUPRIMIR LIGAÇÃO DE AGUA POR IMOVEL VAGO,2026-08-11,SUPRIMIDA LIGAÇÃO DE AGUA IMOVEL VAGO,2026-08-11 10:21:00,2026-08-10 11:00:00,MOTO-ME CVV - JEAN CARLOS,923,32,SÃO PAULO,RIO BONITO,"RUA MATEUS JOSE PIRES, 286 - B C/3",
26101796238,SUPRIMIR LIGAÇÃO DE AGUA POR IMOVEL VAGO,2026-08-20,SUPRIMIDA LIGAÇÃO DE AGUA IMOVEL VAGO,2026-08-20 13:54:00,2026-08-18 21:46:00,MOTO-ME CVV - JEAN CARLOS,929,32,SÃO PAULO,JD NORONHA,"RUA EVOLUCAO, 7 - C/4",
26101970918,SUPRIMIR LIGAÇÃO DE AGUA POR IMOVEL VAGO,2026-08-24,SUPRIMIDA LIGAÇÃO DE AGUA IMOVEL VAGO,2026-08-24 12:16:00,2026-08-20 14:16:00,MOTO-ME CVV - JEAN CARLOS,923,32,SÃO PAULO,V NATAL,"RUA CAJU NATAL, 143 - C/4",
26102132159,SUPRIMIR LIGAÇÃO DE AGUA POR IMOVEL VAGO,2026-08-24,SUPRIMIDA LIGAÇÃO DE AGUA IMOVEL VAGO,2026-08-24 10:59:00,2026-08-22 17:38:00,MOTO-ME CVV - JEAN CARLOS,923,32,SÃO PAULO,JD DAS CAMELIAS,"RUA JOSE LUIS MONTEIRO, 981 - A C/2",
26102214372,SUPRIMIR LIGAÇÃO DE AGUA POR IMOVEL VAGO,2026-08-25,SUPRIMIDA LIGAÇÃO DE AGUA IMOVEL VAGO,2026-08-25 12:05:00,2026-08-24 12:20:00,MOTO-ME CVV - JEAN CARLOS,923,32,SÃO PAULO,JD CRUZEIRO,"RUA FUJIAMA, 113 - C/1",
26100087118,SUPRIMIR LIGAÇÃO DE AGUA POR IMOVEL VAGO,2026-08-03,SUPRIMIDA LIGAÇÃO DE AGUA IMOVEL VAGO,2026-08-03 09:03:00,2026-07-31 22:05:00,MOTO-ME CVV- CLAUDIO,923,32,SÃO PAULO,JD STA EDWIGES,"RUA LAJE DE MURIAE, 289 - casa 1",
26101021162,SUPRIMIR LIGAÇÃO DE AGUA POR IMOVEL VAGO,2026-08-12,SUPRIMIDA LIGAÇÃO DE AGUA IMOVEL VAGO,2026-08-12 08:32:00,2026-08-10 19:04:00,MOTO-ME CVV- EMERSON ALVES,923,32,SÃO PAULO,V RUBI,"RUA DOMINGOS TARROSO, 17 - A C/2",
26101998463,SUPRIMIR LIGAÇÃO DE AGUA POR IMOVEL VAGO,2026-08-21,SUPRIMIDA LIGAÇÃO DE AGUA IMOVEL VAGO,2026-08-21 08:18:00,2026-08-20 18:47:00,MOTO-ME CVV- EMERSON ALVES,923,32,SÃO PAULO,JD CRUZEIRO,"RUA EUSEBIO MOTA, 117 - C/4",
